订单号,订单日期,订单时间,结算日期,网点,省份,城市,金额,数量,备注
ORD00000001,2024-07-30,2024/7/30 11:24,2024/8/9,网点D,上海市,上海市,392.17,89,备注信息0
ORD00000002,2025-03-27,2025/3/27 11:29,2025/4/6,网点E,上海市,上海市,927.31,22,备注信息1
ORD00000003,2024-06-28,2024/6/28 12:57,2024/7/8,网点C,上海市,上海市,655.43,23,备注信息2
ORD00000004,2024-03-18,2024/3/18 21:31,2024/3/28,网点E,上海市,上海市,913.53,25,备注信息3
ORD00000005,2025-01-20,2025/1/20 14:11,2025/1/30,网点E,上海市,上海市,835.14,78,备注信息4
ORD00000006,2025-04-24,2025/4/24 20:34,2025/5/4,网点B,上海市,上海市,690.71,78,备注信息5
ORD00000007,2025-01-18,2025/1/18 20:03,2025/1/28,网点C,上海市,上海市,362.54,26,备注信息6
ORD00000008,2024-05-29,2024/5/29 0:44,2024/6/8,网点C,上海市,上海市,248.7,30,备注信息7
ORD00000009,2025-02-15,2025/2/15 6:38,2025/2/25,网点C,上海市,上海市,230.17,90,备注信息8
ORD00000010,2024-06-30,2024/6/30 1:39,2024/7/10,网点E,上海市,上海市,952.65,38,备注信息9
ORD00000011,2024-08-09,2024/8/9 10:11,2024/8/19,网点D,上海市,上海市,958.99,86,备注信息0
ORD00000012,2024-01-10,2024/1/10 0:33,2024/1/20,网点C,上海市,上海市,727.58,34,备注信息1
ORD00000013,2024-11-12,2024/11/12 22:54,2024/11/22,网点E,上海市,上海市,884.96,89,备注信息2
ORD00000014,2024-12-21,2024/12/21 7:08,2024/12/31,网点B,上海市,上海市,919.81,77,备注信息3
ORD00000015,2024-06-06,2024/6/6 7:56,2024/6/16,网点D,福建,福州市,516.44,93,备注信息4
ORD00000016,2024-01-03,2024/1/3 3:05,2024/1/13,网点B,福建,福州市,632.77,73,备注信息5
ORD00000017,2024-10-19,2024/10/19 2:49,2024/10/29,网点D,福建,福州市,424.57,15,备注信息6
ORD00000018,2024-08-10,2024/8/10 1:01,2024/8/20,网点E,福建,福州市,424.31,95,备注信息7
ORD00000019,2025-02-01,2025/2/1 12:30,2025/2/11,网点A,福建,福州市,48.04,44,备注信息8
ORD00000020,2024-12-30,2024/12/30 2:05,2025/1/9,网点D,福建,厦门市,439.48,91,备注信息9
ORD00000021,2024-12-30,2024/12/30 19:26,2025/1/9,网点B,福建,厦门市,676.75,95,备注信息0
ORD00000022,2024-07-02,2024/7/2 1:00,2024/7/12,网点E,福建,厦门市,427.76,10,备注信息1
ORD00000023,2024-10-22,2024/10/22 7:36,2024/11/1,网点D,福建,厦门市,873.69,37,备注信息2
ORD00000024,2024-01-20,2024/1/20 11:24,2024/1/30,网点A,福建,厦门市,339.24,7,备注信息3
ORD00000025,2024-01-10,2024/1/10 5:44,2024/1/20,网点A,福建,厦门市,141.36,32,备注信息4
ORD00000026,2024-11-09,2024/11/9 18:36,2024/11/19,网点C,福建,厦门市,813.44,11,备注信息5
ORD00000027,2024-12-08,2024/12/8 2:34,2024/12/18,网点C,天津市,天津市,677.21,48,备注信息6
ORD00000028,2024-11-14,2024/11/14 17:57,2024/11/24,网点B,天津市,天津市,249.4,92,备注信息7
ORD00000029,2025-02-08,2025/2/8 1:05,2025/2/18,网点D,天津市,天津市,541.09,68,备注信息8
ORD00000030,2024-02-11,2024/2/11 10:12,2024/2/21,网点D,天津市,天津市,407.83,48,备注信息9
ORD00000031,2024-06-05,2024/6/5 2:58,2024/6/15,网点C,天津市,天津市,939.47,45,备注信息0
ORD00000032,2024-10-23,2024/10/23 13:37,2024/11/2,网点D,天津市,天津市,611.26,95,备注信息1
ORD00000033,2024-05-21,2024/5/21 18:15,2024/5/31,网点D,天津市,天津市,166.81,93,备注信息2
ORD00000034,2024-11-05,2024/11/5 13:49,2024/11/15,网点A,天津市,天津市,507.13,33,备注信息3
ORD00000035,2024-08-13,2024/8/13 3:34,2024/8/23,网点C,天津市,天津市,863.93,4,备注信息4
ORD00000036,2024-02-12,2024/2/12 14:18,2024/2/22,网点E,天津市,天津市,674.78,47,备注信息5
ORD00000037,2025-01-14,2025/1/14 11:05,2025/1/24,网点C,天津市,天津市,844.03,90,备注信息6
ORD00000038,2024-03-15,2024/3/15 17:20,2024/3/25,网点E,天津市,天津市,257.9,53,备注信息7
ORD00000039,2025-02-02,2025/2/2 2:06,2025/2/12,网点A,天津市,天津市,889.47,31,备注信息8
ORD00000040,2025-05-12,2025/5/12 0:14,2025/5/22,网点B,天津市,天津市,758.06,31,备注信息9
ORD00000041,2024-03-15,2024/3/15 4:26,2024/3/25,网点D,天津市,天津市,731.62,27,备注信息0
ORD00000042,2024-05-27,2024/5/27 22:04,2024/6/6,网点A,天津市,天津市,353.08,89,备注信息1
ORD00000043,2024-04-03,2024/4/3 16:14,2024/4/13,网点D,天津市,天津市,888.78,48,备注信息2
ORD00000044,2024-02-08,2024/2/8 22:38,2024/2/18,网点B,天津市,天津市,641.6,36,备注信息3
ORD00000045,2024-05-10,2024/5/10 20:15,2024/5/20,网点B,天津市,天津市,853.32,49,备注信息4
ORD00000046,2025-01-12,2025/1/12 21:42,2025/1/22,网点A,上海市,上海市,367.36,31,备注信息5
ORD00000047,2024-09-14,2024/9/14 13:47,2024/9/24,网点B,上海市,上海市,154.2,44,备注信息6
ORD00000048,2025-01-09,2025/1/9 7:38,2025/1/19,网点E,上海市,上海市,339.01,59,备注信息7
ORD00000049,2025-04-30,2025/4/30 22:32,2025/5/10,网点B,上海市,上海市,460.71,23,备注信息8
ORD00000050,2024-04-02,2024/4/2 12:33,2024/4/12,网点D,上海市,上海市,538.07,99,备注信息9
ORD00000051,2024-11-03,2024/11/3 18:36,2024/11/13,网点D,上海市,上海市,515.7,68,备注信息0
ORD00000052,2024-08-06,2024/8/6 19:07,2024/8/16,网点D,上海市,上海市,550.59,92,备注信息1
ORD00000053,2025-04-07,2025/4/7 15:42,2025/4/17,网点D,上海市,上海市,843.29,42,备注信息2
ORD00000054,2025-04-28,2025/4/28 21:10,2025/5/8,网点E,上海市,上海市,178.4,42,备注信息3
ORD00000055,2025-03-12,2025/3/12 7:56,2025/3/22,网点C,上海市,上海市,322.89,13,备注信息4
ORD00000056,2024-06-23,2024/6/23 3:41,2024/7/3,网点A,上海市,上海市,889.72,1,备注信息5
ORD00000057,2024-05-25,2024/5/25 12:19,2024/6/4,网点D,上海市,上海市,564.85,76,备注信息6
ORD00000058,2024-06-16,2024/6/16 20:05,2024/6/26,网点B,上海市,上海市,587.56,53,备注信息7
ORD00000059,2024-08-25,2024/8/25 19:24,2024/9/4,网点D,上海市,上海市,483.28,40,备注信息8
ORD00000060,2024-04-27,2024/4/27 0:44,2024/5/7,网点B,上海市,上海市,553.48,90,备注信息9
ORD00000061,2024-08-03,2024/8/3 7:48,2024/8/13,网点B,上海市,上海市,206.1,46,备注信息0
ORD00000062,2024-03-17,2024/3/17 11:34,2024/3/27,网点D,上海市,上海市,551.4,87,备注信息1
ORD00000063,2025-05-12,2025/5/12 0:21,2025/5/22,网点E,上海市,上海市,997.2,22,备注信息2
ORD00000064,2024-11-09,2024/11/9 13:22,2024/11/19,网点B,上海市,上海市,570.39,52,备注信息3
ORD00000065,2024-09-09,2024/9/9 8:41,2024/9/19,网点B,上海市,上海市,53.96,28,备注信息4
ORD00000066,2025-03-25,2025/3/25 7:52,2025/4/4,网点D,上海市,上海市,798.47,53,备注信息5
ORD00000067,2024-03-13,2024/3/13 19:18,2024/3/23,网点B,上海市,上海市,402.51,63,备注信息6
ORD00000068,2024-09-22,2024/9/22 6:12,2024/10/2,网点B,上海市,上海市,162.14,17,备注信息7
ORD00000069,2025-03-29,2025/3/29 0:23,2025/4/8,网点D,上海市,上海市,863.89,64,备注信息8
ORD00000070,2024-10-27,2024/10/27 3:45,2024/11/6,网点D,上海市,上海市,205.99,6,备注信息9
ORD00000071,2024-08-25,2024/8/25 0:33,2024/9/4,网点A,上海市,上海市,921.56,14,备注信息0
ORD00000072,2024-09-10,2024/9/10 10:12,2024/9/20,网点E,上海市,上海市,447.38,17,备注信息1
ORD00000073,2025-05-01,2025/5/1 15:40,2025/5/11,网点E,上海市,上海市,745.36,38,备注信息2
ORD00000074,2025-05-10,2025/5/10 18:30,2025/5/20,网点B,浙江省,杭州市,551.53,69,备注信息3
ORD00000075,2024-10-15,2024/10/15 21:21,2024/10/25,网点E,浙江省,杭州市,264.06,13,备注信息4
ORD00000076,2024-07-01,2024/7/1 12:48,2024/7/11,网点B,浙江省,杭州市,674.38,53,备注信息5
ORD00000077,2024-03-24,2024/3/24 4:06,2024/4/3,网点A,浙江省,杭州市,958.33,9,备注信息6
ORD00000078,2024-08-30,2024/8/30 0:56,2024/9/9,网点D,浙江省,杭州市,771.94,44,备注信息7
